app_id,name,release_year,release_date,review_score_desc,positive,total_reviews,positive_pct,steamspy_owners,price_overview,steam_url,header_img
2996090,源战役,2024,2024-07-18,Very Positive,295,313,94.2,0,\N,https://store.steampowered.com/app/2996090/,https://cdn.akamai.steamstatic.com/steam/apps/2996090/header.jpg
968500,A Bewitching Revolution,2019,2019-04-09,Very Positive,291,310,93.9,0,\N,https://store.steampowered.com/app/968500/,https://cdn.akamai.steamstatic.com/steam/apps/968500/header.jpg
523740,Techwars: Global Conflict,2017,2017-12-21,Mixed,209,309,67.6,0,\N,https://store.steampowered.com/app/523740/,https://cdn.akamai.steamstatic.com/steam/apps/523740/header.jpg
1338250,Nohra,2020,2020-06-18,Very Positive,299,309,96.8,0,\N,https://store.steampowered.com/app/1338250/,https://cdn.akamai.steamstatic.com/steam/apps/1338250/header.jpg
979260,Gizmo,2018,2018-12-05,Very Positive,294,309,95.1,0,\N,https://store.steampowered.com/app/979260/,https://cdn.akamai.steamstatic.com/steam/apps/979260/header.jpg
489560,Astroflux,2016,2016-09-27,Mostly Positive,225,308,73.1,0,\N,https://store.steampowered.com/app/489560/,https://cdn.akamai.steamstatic.com/steam/apps/489560/header.jpg
1721980,Loading Story,2021,2021-09-10,Very Positive,291,307,94.8,0,\N,https://store.steampowered.com/app/1721980/,https://cdn.akamai.steamstatic.com/steam/apps/1721980/header.jpg
2885580,Void Whispers,2024,2024-04-06,Very Positive,285,304,93.8,0,\N,https://store.steampowered.com/app/2885580/,https://cdn.akamai.steamstatic.com/steam/apps/2885580/header.jpg
217120,Waves 2: Notorious,2015,2015-12-16,Very Positive,279,302,92.4,0,\N,https://store.steampowered.com/app/217120/,https://cdn.akamai.steamstatic.com/steam/apps/217120/header.jpg
963400,SCP: Blackout,2024,2024-03-26,Mixed,206,301,68.4,0,\N,https://store.steampowered.com/app/963400/,https://cdn.akamai.steamstatic.com/steam/apps/963400/header.jpg
2851820,Kriegsfront Tactics - Prologue,2024,2024-07-17,Very Positive,278,296,93.9,0,\N,https://store.steampowered.com/app/2851820/,https://cdn.akamai.steamstatic.com/steam/apps/2851820/header.jpg
488430,Galaxy in Turmoil,2020,2020-05-23,Mostly Negative,116,293,39.6,0,\N,https://store.steampowered.com/app/488430/,https://cdn.akamai.steamstatic.com/steam/apps/488430/header.jpg
681330,Helium Rain,2018,2018-10-11,Mostly Positive,227,290,78.3,0,\N,https://store.steampowered.com/app/681330/,https://cdn.akamai.steamstatic.com/steam/apps/681330/header.jpg
856880,Fighting Fantasy Classics,2018,2018-06-05,Mostly Positive,229,289,79.2,0,\N,https://store.steampowered.com/app/856880/,https://cdn.akamai.steamstatic.com/steam/apps/856880/header.jpg
2962810,Galaxy Idle Clicker,2024,2024-07-18,Mostly Positive,218,288,75.7,0,\N,https://store.steampowered.com/app/2962810/,https://cdn.akamai.steamstatic.com/steam/apps/2962810/header.jpg
1219590,HEAT REBORN,2021,2021-05-08,Mixed,179,287,62.4,0,\N,https://store.steampowered.com/app/1219590/,https://cdn.akamai.steamstatic.com/steam/apps/1219590/header.jpg
396030,InCell VR,2015,2015-09-03,Mixed,195,283,68.9,0,\N,https://store.steampowered.com/app/396030/,https://cdn.akamai.steamstatic.com/steam/apps/396030/header.jpg
2645580,Free Stars: The Ur-Quan Masters,2024,2024-02-19,Very Positive,273,280,97.5,0,\N,https://store.steampowered.com/app/2645580/,https://cdn.akamai.steamstatic.com/steam/apps/2645580/header.jpg
2556450,哈希绿洲 Hash Oasis,2024,2024-04-10,Very Positive,248,280,88.6,0,\N,https://store.steampowered.com/app/2556450/,https://cdn.akamai.steamstatic.com/steam/apps/2556450/header.jpg
338820,Retro Commander,2023,2023-11-24,Mostly Positive,207,278,74.5,0,\N,https://store.steampowered.com/app/338820/,https://cdn.akamai.steamstatic.com/steam/apps/338820/header.jpg
1460540,Farlanders: Prologue,2021,2021-05-18,Very Positive,258,277,93.1,0,\N,https://store.steampowered.com/app/1460540/,https://cdn.akamai.steamstatic.com/steam/apps/1460540/header.jpg
2398550,Sect-Machina,2023,2023-09-10,Mixed,170,274,62.0,0,\N,https://store.steampowered.com/app/2398550/,https://cdn.akamai.steamstatic.com/steam/apps/2398550/header.jpg
310110,NS2: Combat,2014,2014-10-31,Mixed,145,273,53.1,0,\N,https://store.steampowered.com/app/310110/,https://cdn.akamai.steamstatic.com/steam/apps/310110/header.jpg
2230820,Sands,2023,2023-03-07,Mixed,143,273,52.4,0,\N,https://store.steampowered.com/app/2230820/,https://cdn.akamai.steamstatic.com/steam/apps/2230820/header.jpg
1037410,Captain Starshot,2019,2019-07-09,Mostly Positive,198,271,73.1,0,\N,https://store.steampowered.com/app/1037410/,https://cdn.akamai.steamstatic.com/steam/apps/1037410/header.jpg
2321460,Dynopunk: Welcome to Synth-City,2023,2023-04-12,Very Positive,260,267,97.4,0,\N,https://store.steampowered.com/app/2321460/,https://cdn.akamai.steamstatic.com/steam/apps/2321460/header.jpg
458760,Palinurus,2016,2016-12-09,Very Positive,250,263,95.1,0,\N,https://store.steampowered.com/app/458760/,https://cdn.akamai.steamstatic.com/steam/apps/458760/header.jpg
304690,Star Sonata 2,2020,2020-06-12,Mixed,176,262,67.2,0,\N,https://store.steampowered.com/app/304690/,https://cdn.akamai.steamstatic.com/steam/apps/304690/header.jpg
1243130,Nimbatus - Drone Creator,2020,2020-04-30,Very Positive,237,261,90.8,0,\N,https://store.steampowered.com/app/1243130/,https://cdn.akamai.steamstatic.com/steam/apps/1243130/header.jpg
1674590,Histera,2024,2024-06-20,Mostly Negative,56,260,21.5,0,\N,https://store.steampowered.com/app/1674590/,https://cdn.akamai.steamstatic.com/steam/apps/1674590/header.jpg
576430,World Of Robots,2022,2022-03-10,Mixed,156,259,60.2,0,\N,https://store.steampowered.com/app/576430/,https://cdn.akamai.steamstatic.com/steam/apps/576430/header.jpg
396280,Anarchy Online,2017,2017-02-22,Very Positive,209,257,81.3,0,\N,https://store.steampowered.com/app/396280/,https://cdn.akamai.steamstatic.com/steam/apps/396280/header.jpg
1864080,Assault Bots,2022,2022-04-15,Very Positive,211,256,82.4,0,\N,https://store.steampowered.com/app/1864080/,https://cdn.akamai.steamstatic.com/steam/apps/1864080/header.jpg
1135440,Little Green Girl,2023,2023-11-02,Very Positive,248,256,96.9,0,\N,https://store.steampowered.com/app/1135440/,https://cdn.akamai.steamstatic.com/steam/apps/1135440/header.jpg
2671350,THE MULLER-POWELL PRINCIPLE: Foreword,2023,2023-11-16,Very Positive,205,254,80.7,0,\N,https://store.steampowered.com/app/2671350/,https://cdn.akamai.steamstatic.com/steam/apps/2671350/header.jpg
1755240,Moon Runner,2022,2022-10-21,Very Positive,213,252,84.5,0,\N,https://store.steampowered.com/app/1755240/,https://cdn.akamai.steamstatic.com/steam/apps/1755240/header.jpg
