tconst,title,year,runtime_min,genres,imdb_rating,num_votes,imdb_url
tt8285216,Better Than Us,2018,52,"Drama,Sci-Fi",7.3,12698,https://www.imdb.com/title/tt8285216/
tt9849210,Biohackers,2020,44,"Drama,Sci-Fi,Thriller",6.8,12670,https://www.imdb.com/title/tt9849210/
tt10758074,The Man Who Fell to Earth,2022,60,"Drama,Sci-Fi",7.2,11697,https://www.imdb.com/title/tt10758074/
tt10946316,The Institute,2025,55,"Horror,Sci-Fi,Thriller",6.7,11249,https://www.imdb.com/title/tt10946316/
tt0840800,Battlestar Galactica: The Resistance,2006,26,"Drama,Sci-Fi,Short",7.8,11201,https://www.imdb.com/title/tt0840800/
tt4132692,Between,2015,60,"Drama,Mystery,Sci-Fi",6.0,11109,https://www.imdb.com/title/tt4132692/
tt10369484,The Power,2023,\N,"Drama,Fantasy,Sci-Fi",6.7,10873,https://www.imdb.com/title/tt10369484/
tt6461824,The Crossing,2018,42,"Adventure,Drama,Sci-Fi",7.1,10820,https://www.imdb.com/title/tt6461824/
tt8001226,The War of the Worlds,2019,54,"Drama,History,Sci-Fi",5.2,10771,https://www.imdb.com/title/tt8001226/
tt7441984,JL50,2020,42,"Drama,Sci-Fi,Thriller",7.3,10635,https://www.imdb.com/title/tt7441984/
tt4131818,The Hot Zone,2019,45,"Drama,History,Sci-Fi",7.3,10431,https://www.imdb.com/title/tt4131818/
tt0219446,The Oblongs,2001,284,"Animation,Comedy,Sci-Fi",7.1,10252,https://www.imdb.com/title/tt0219446/
tt1319690,Defying Gravity,2009,60,"Drama,Sci-Fi",7.3,10220,https://www.imdb.com/title/tt1319690/
tt11640020,Debris,2021,\N,"Drama,Mystery,Sci-Fi",6.5,10089,https://www.imdb.com/title/tt11640020/
tt0948538,Journeyman,2007,\N,"Fantasy,Romance,Sci-Fi",8.0,9889,https://www.imdb.com/title/tt0948538/
tt7521778,I'm Not a Robot,2017,35,"Comedy,Romance,Sci-Fi",8.0,9828,https://www.imdb.com/title/tt7521778/
tt0305011,Clone High,2002,30,"Animation,Comedy,Sci-Fi",8.1,9704,https://www.imdb.com/title/tt0305011/
